"Project Name",Status,Location,"End Use","Electrolyser Capacity (MW)","Project Capacity (Tonnes H2 P.A.)","More Info"
"BPCL- CIAL Green H2 plant",Announced,"Kochi Airport, Kerala","GH2 production and fuelling station",100.000,0,https://www.thehindu.com/news/cities/Kochi/cial-bpcl-sign-pact-for-green-hydrogen-plant/article67845038.ece
"GAIL- GH2 Project",Commissioned,"Vijaipur Complex, Madhya Pradesh","PEM electrolyser for GH2 producing unit",10.000,1570.542,https://hydrogen-central.com/india-gail-to-commission-its-first-green-hydrogen-project-in-april-sources-say/
"RIL, L&amp;T, Greenko, Welspun - Green Hydrogen &amp; Green Ammonia",Announced,NA,"Ammonia Production",0,"1400000.000 (7 MTPA of Green Ammonia ; 1.4 MTPA of GH2)",
"ReNew E-Fuels Private Limited - ReNew Paradip Green Ammonia Project",Announced,"Paradeep, Odisha","Green Ammonia Production",140.800,20000.000,https://www.pv-magazine-india.com/2024/02/19/the-hydrogen-stream-renew-begins-work-on-1-2-mmtpa-green-ammonia-plant-in-odisha/
"Torrent Power Limited - 100 KTPA Green Ammonia Production Project",Announced,NA,"Green Ammonia production",352.100,50000.000,https://www.pv-magazine-india.com/2024/01/17/torrent-power-commits-5-7-billion-investment-in-gujarat/
"ReNew Energy-JERA Green Ammonia Project",Announced,NA,"Green Ammonia Production",0,100000.000,https://www.renew.com/press-release/renew-partners-with-jera-to-evaluate-joint-development-of-green-ammonia-project-in-india
"SJVN Limited -NJHPS Multi-purpose GH2 Pilot Project",Commissioned,"Jhakri, Himachal Pradesh","Green Hydrogen generation",0.100,4.340,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2018824
"Tata Steel SEZ- Hygenco GNH3 and GH2 project",Announced,NA,"Green Ammonia and hydrogen production",0,1000000.000,https://www.ndtvprofit.com/business/tata-steel-sez-hygenco-sign-mou-for-green-ammonia-and-green-hydrogen-project-in-odisha
"INOX Air: GH2 for Asahi India Glass Limited",Announced,NA,"Green Hydrogen production",1.338,190.000,https://www.gasworld.com/story/inoxap-inks-20-year-supply-deal-for-indias-first-green-hydrogen-powered-float-glass-facility/2138454.article/
"NTPC - New Energy Park : Green Hydrogen Hub",Announced,"Pudimadaka, AP","PtX Products",3855.634,547500.000,"https://www.business-standard.com/article/companies/andhra-govt-clears-rs-1-10-trn-proposal-of-ntpc-for-new-energy-park-123020701823_1.html "
"ACME Gopalpur Hydrogen Project Phase 1",Announced,Odisha,"Green Ammonia production",0,0,
"Ocior Energy Andhra Pradesh Hydrogen Project",Announced,NA,"Green Ammonia production",0,0,
"Sembcorp Thoothukudi Hydrogen Project",Announced,NA,"Green Ammonia Production",0,0,
"Waaree Clean Energy Jagatsinghpur Hydrogen Project",Announced,NA,"Green Methanol Production",704.225,100000.000,
"NTPC Rajasthan Hydrogen Project",Announced,NA,"Green Hydrogen",0,0,
